schema_version,name,stage,status,created_at,git_commit,git_dirty,config_path,config_sha256,profiles,profile_sha256,checkpoint_path,checkpoint_sha256,checkpoint_size_mb,zip_path,zip_sha256,zip_size_mb,branch,router_threshold,soft_gate_temperature,patch_size,chunk_size,overlap,stitching_strategy,script_version,evaluate_py_path,evaluate_py_sha256,official_eval_json,official_score,cd_score,p2s_score,low_cd,mid_cd,high_cd,latency_sec,peak_memory_mb,large_cloud_stress,params_count,model_size_mb,inference_fps_per_10k_points,inference_ms_per_10k_points,baseline_speedup_ratio,baseline_size_ratio,submission_check,official_submitted,official_score_recorded,conclusion,notes
candidate-registry-v1,router_t0165,Phase 1,candidate,2026-05-08T15:57:25+00:00,,false,configs/denoise_pwsenel_v2_adaptive_clip_piecewise.yaml,a7d19a990b96fbd0e507ad81b0981a43afaed1764b46abbf783eabec130d9a62,,,experiments/denoise_pwsenel_v2_adaptive_clip_piecewise/pwsenel_v2_adaptive_clip_piecewise.pkl,123338842aac079c7bbdcf5119e3b2eb72e54533033b4f79d9b8fec700ad86f3,1.592,result_denoise_router_t0165.zip,9a48be56d5cba2d498739c7600ba79a62ce12882cf28d1dcc19b88ee1ef871ef,105.853,UnifiedDenoisePipeline hard_router,0.0165,,8192,8192,0,contiguous_chunks,candidate-registry-v1; python=3.12.13,starter_code/evaluate.py,868e1f458a9b92cb3854182f1ed047debc6303d8b30b154fec268cbc4c000408,,,,,,,,,,,,1.592,,,,,passed,false,false,Phase 1 hard-router candidate; submission check passed; official score pending.,strong_config=configs/denoise_noise_aware_move_gate.yaml; strong_ckpt=experiments/denoise_noise_aware_move_gate/noise_aware_move_gate.pkl
candidate-registry-v1,router_t0155,Phase 1,candidate,2026-05-09T01:42:07+00:00,,false,configs/denoise_pwsenel_v2_adaptive_clip_piecewise.yaml,a7d19a990b96fbd0e507ad81b0981a43afaed1764b46abbf783eabec130d9a62,,,experiments/denoise_pwsenel_v2_adaptive_clip_piecewise/pwsenel_v2_adaptive_clip_piecewise.pkl,123338842aac079c7bbdcf5119e3b2eb72e54533033b4f79d9b8fec700ad86f3,1.592,result_denoise_router_t0155.zip,5123cb756a66a9425fbb653d129079925524c00404a80217b8ffcea774915859,105.793,legacy predict_router hard_router,0.0155,,8192,8192,0,contiguous_chunks,candidate-registry-v1; python=3.12.13,starter_code/evaluate.py,868e1f458a9b92cb3854182f1ed047debc6303d8b30b154fec268cbc4c000408,,,,,,,,,,,,1.592,,,,,passed,true,false,Legacy hard-router candidate; submission check passed; official score not recorded here.,"route_counts=low:140,strong:60; strong_config=configs/denoise_noise_aware_move_gate.yaml; strong_ckpt=experiments/denoise_noise_aware_move_gate/noise_aware_move_gate.pkl; route_file=results/denoise_router_t0155--zip=result_denoise_router_t0155.zip/router_routes.csv"
candidate-registry-v1,router_t016,Phase 1,submitted,2026-05-09T01:42:07+00:00,,false,configs/denoise_pwsenel_v2_adaptive_clip_piecewise.yaml,a7d19a990b96fbd0e507ad81b0981a43afaed1764b46abbf783eabec130d9a62,,,experiments/denoise_pwsenel_v2_adaptive_clip_piecewise/pwsenel_v2_adaptive_clip_piecewise.pkl,123338842aac079c7bbdcf5119e3b2eb72e54533033b4f79d9b8fec700ad86f3,1.592,result_denoise_router_t016.zip,21ef51d63f6813fd3b0b6165392b56e55b31145d3b79c9ae842a95ffcb44cfaa,105.794,legacy predict_router hard_router,0.016,,8192,8192,0,contiguous_chunks,candidate-registry-v1; python=3.12.13,starter_code/evaluate.py,868e1f458a9b92cb3854182f1ed047debc6303d8b30b154fec268cbc4c000408,,39.92,,,,,,,,,,1.592,,,,,passed,true,true,Legacy hard-router official baseline; current stable reference score 39.92.,"route_counts=low:149,strong:51; strong_config=configs/denoise_noise_aware_move_gate.yaml; strong_ckpt=experiments/denoise_noise_aware_move_gate/noise_aware_move_gate.pkl; route_file=results/denoise_router_t016/router_routes.csv"
candidate-registry-v1,denoise_baseline_a6000_full,Phase 1,baseline,2026-05-11T05:01:15+00:00,,false,configs/denoise_baseline.yaml,f50f9088aec1f9dd0d5405e0741431e865119cfd376c2ae08b1b5ad33db3bfd6,configs/profiles/a6000.yaml,f5e569026c39f5d30c3f917d97fbeb26d87b8d69339064f478f9b49a6c7494cd,experiments/denoise_baseline/baseline.pkl,88046552c4471a845ea5b7c141499bbbeaba3f174fcc10319cf9799758ba3259,1.086,result_denoise_baseline_a6000_full.zip,078b44240571f82504aa77d6a2bd31e14049446e21407220f03aefa5eeedf51c,105.756,self_written_residual_denoiser,,,8192,8192,0,contiguous_chunks,candidate-registry-v1; python=3.12.13,starter_code/evaluate.py,868e1f458a9b92cb3854182f1ed047debc6303d8b30b154fec268cbc4c000408,,,,,,,,,,,,1.086,,,,,passed,false,false,A6000 20000-step self-written baseline is a valid submission package; train/predict/zip/check pipeline is closed; expected as innovation baseline rather than strongest official-score candidate.,"final_train: step=20000 loss=0.000130 offset_mse=0.000109 cd=0.000203 elapsed=55613.9s; zip_size=106M; zip_sha256=078b44240571f82504aa77d6a2bd31e14049446e21407220f03aefa5eeedf51c; check_submission OK: 200 files, shape=(50000,3), float32, finite_range=[-1.020535,1.033167]."
candidate-registry-v1,official_vm_fixed_stitch_full_repaired_20260515,official-full,submitted,2026-05-15T14:27:19+00:00,,false,configs/official_vm_fixed_stitch.yaml,,,,experiments/official_vm_fixed_stitch/official_vm_fixed_stitch.pkl,,,result_official_vm_fixed_stitch.zip,a4336dfab51a538e9260395b16d4d18b6aadfb9593fb8398f70fa3772a6c4d76,105.795,official_vm_fixed_stitch,,,8192,50000,0,fixed_stitch,candidate-registry-v1; python=3.12.13,starter_code/evaluate.py,868e1f458a9b92cb3854182f1ed047debc6303d8b30b154fec268cbc4c000408,,48.04,,,,,,,,,,,,,,,"OK: 200 files; shapes={(50000,3):200}; dtypes={float32:200}; finite; matched_test_root=200",true,true,CURRENT_BEST_REFERENCE,"Current best known official-score candidate. Reverified before registry append: result_official_vm_fixed_stitch.zip sha256=a4336dfab51a538e9260395b16d4d18b6aadfb9593fb8398f70fa3772a6c4d76, 200 denoised.npy files, all shape=(50000,3), dtype=float32, finite, matched test_root entries=200. Use as current best reference before any LIR/gated-LIR promotion."
candidate-registry-v1,gated_lir_t2_a075_thr0160_official_20260516,Phase 2,submitted,2026-05-16T09:12:59+08:00,eab675fc97b58d1c6d90b55f820d5dfeb017a2d5,true,configs/denoise_pwsenel_v2_adaptive_clip_piecewise.yaml,a7d19a990b96fbd0e507ad81b0981a43afaed1764b46abbf783eabec130d9a62,,,experiments/denoise_pwsenel_v2_adaptive_clip_piecewise/pwsenel_v2_adaptive_clip_piecewise.pkl,123338842aac079c7bbdcf5119e3b2eb72e54533033b4f79d9b8fec700ad86f3,1.592,/home/sallen/Desktop/result_gated_lir_t2_a075_thr0160_full_20260516.zip,,,UnifiedDenoisePipeline gated LIR-Denoiser v0,0.0160,,8192,8192,0,contiguous_chunks,candidate-registry-v1; python=3.12.3,starter_code/evaluate.py,868e1f458a9b92cb3854182f1ed047debc6303d8b30b154fec268cbc4c000408,,37.16,27.37,46.96,,,,,,,,1.592,,,,,passed,true,true,"Official score 37.16 below current best 48.04; archive as Phase 2 gated-LIR evidence, do not promote.","lir_steps=2; lir_alpha=0.75; threshold=0.0160; full_routes=safe:149,lir:51; mean_CD_pred=0.000181; mean_CD_noisy=0.000246; mean_P2S_pred=0.000119; mean_P2S_noisy=0.000196; current_best_reference=official_vm_fixed_stitch_full_repaired_20260515 score=48.04"
candidate-registry-v1,official_vm_streaming_200_smoke_20260516,official-full,submitted,2026-05-16T17:09:00+08:00,eab675fc97b58d1c6d90b55f820d5dfeb017a2d5,true,configs/official_vm_fixed_stitch.yaml,,,,experiments/official_vm_fixed_stitch/official_vm_fixed_stitch.pkl,,,/home/sallen/Desktop/result_official_vm_streaming_200_smoke_20260516_1648.zip,9d2e038a21de8ff5e4b42ac92e9f8945ca36901d534a17c6844c1564ba0d9de4,105.795,official_vm_fixed_stitch_streaming,,,8192,50000,0,streaming_fixed_stitch,candidate-registry-v1; python=3.12.3,starter_code/evaluate.py,868e1f458a9b92cb3854182f1ed047debc6303d8b30b154fec268cbc4c000408,,48.04,34.04,62.05,,,,,,A6000 200/200 user-run quick predict passed; 500k streaming pressure passed; no SIGKILL in user-run 200 smoke,,,,,,,"passed: 200 files; shape=(50000,3); dtype=float32; finite; matched_test_root=200",true,true,Official score 48.04 ties current best official_vm_fixed_stitch_full_repaired_20260515; streaming path is validated as engineering-safe but not promoted as a score improvement.,mean_CD_pred=0.000163; mean_CD_noisy=0.000246; mean_P2S_pred=0.000100; mean_P2S_noisy=0.000196; zip_sha256=9d2e038a21de8ff5e4b42ac92e9f8945ca36901d534a17c6844c1564ba0d9de4; desktop_zip=/home/sallen/Desktop/result_official_vm_streaming_200_smoke_20260516_1648.zip
candidate-registry-v1,lir_t2_a075_hidden_full_20260517_0555,Phase 2,submitted,2026-05-17T14:10:00+08:00,eab675fc97b58d1c6d90b55f820d5dfeb017a2d5,true,configs/denoise_pwsenel_v2_adaptive_clip_piecewise.yaml,,,,experiments/denoise_pwsenel_v2_adaptive_clip_piecewise/pwsenel_v2_adaptive_clip_piecewise.pkl,,,/home/sallen/Desktop/lir_t2_a075_hidden_full_20260517_0555.zip,246e092aff821f0eb1f35631bb446ca7ee9bcab8c0c145e33635009b1743561b,106,UnifiedDenoisePipeline raw LIR-Denoiser v0,,,8192,8192,0,contiguous_chunks,candidate-registry-v1; python=3.12.3,starter_code/evaluate.py,,,39.08,27.53,50.63,,,,572.2,,,,,,,,,"passed: 200 files; shape=(50000,3); dtype=float32; finite; matched_test_root=200",true,true,"Official score 39.08 below current best 48.04; archive as raw LIR evidence, do not promote.",lir_steps=2; lir_alpha=0.75; full_routes=lir:200; mean_CD_pred=0.000181; mean_CD_noisy=0.000246; mean_P2S_pred=0.000113; mean_P2S_noisy=0.000196; pseudo quick128 final=23.94 CD_score=47.24 worse_than_noisy=0/128; current_best_reference=official_vm_streaming_200_smoke_20260516 score=48.04
candidate-registry-v1,blend_best075_lir025_20260517,Phase 2,submitted,2026-05-17T17:25:00+08:00,eab675fc97b58d1c6d90b55f820d5dfeb017a2d5,true,"blend(current_best_streaming,lir_t2_a075_hidden_full_20260517_0555)",,,,experiments/official_vm_fixed_stitch/official_vm_fixed_stitch.pkl + experiments/denoise_pwsenel_v2_adaptive_clip_piecewise/pwsenel_v2_adaptive_clip_piecewise.pkl,,,/home/sallen/Desktop/result_blend_best075_lir025_20260517.zip,41d1ac9a338a1d1fafb689fe9df8847f55b2fb98d7a63435f6568587beb2d7b2,106,P2S-safe blend: 0.75 official_vm_streaming + 0.25 raw LIR,,,8192,50000/8192,0,zip-level linear blend from aligned denoised.npy outputs,manual zip-level blend; candidate-registry-v1; python=3,starter_code/evaluate.py,,,53.32,40.65,65.99,,,,,,,,,,,,,"passed: 200 files; shape=(50000,3); dtype=float32; finite; matched_test_root=200; finite_range=[-1.014350,1.019200]",true,true,NEW BEST. Beats previous current best 48.04 by +5.28. Conservative blend improved both CD and P2S over official_vm_streaming and raw LIR.,blend=0.75*official_vm_streaming_200_smoke_20260516 + 0.25*lir_t2_a075_hidden_full_20260517_0555; mean_CD_pred=0.000146; mean_CD_noisy=0.000246; mean_P2S_pred=0.000093; mean_P2S_noisy=0.000196; previous_best=48.04 CD=34.04 P2S=62.05; raw_LIR=39.08 CD=27.53 P2S=50.63; blend_disp_from_best_mean=0.00365685; blend_disp_from_best_p95_mean=0.00615082
candidate-registry-v1,noise_gate_adaptive_blend_20260518,Phase 2,submitted,2026-05-18T09:32:18+08:00,eab675fc97b58d1c6d90b55f820d5dfeb017a2d5,true,adaptive_blend_probe(noise_gate; stream+lir noisy-only stats),,,,,,,analysis/adaptive_blend_probe_20260517/result_adaptive_blend_noise_gate_20260517.zip,8442cf8b00bf7faa5727b5eaa50f623af6b1f2c6126eabf35977533c15af3413,105.772,noisy-only adaptive blend: noise_gate over 0.75 stream + 0.25 LIR fixed blend,,,8192,50000/8192,0,zip-level adaptive linear blend from aligned denoised.npy outputs,candidate-registry-v1; python=3.12.3,starter_code/evaluate.py,868e1f458a9b92cb3854182f1ed047debc6303d8b30b154fec268cbc4c000408,,52.57,39.67,65.48,,,,,,,,,,,,,"passed: 200 files; shape=(50000,3); dtype=float32; finite; matched_test_root=200",true,true,Official score 52.57 is above previous VM anchor 48.04 but below current best 53.32; adaptive noise_gate is valid but not promoted to best.,"zip_sha256 expected/verified=8442cf8b00bf7faa5727b5eaa50f623af6b1f2c6126eabf35977533c15af3413; mean_CD_pred=0.000149; mean_CD_noisy=0.000246; mean_P2S_pred=0.000094; mean_P2S_noisy=0.000196; threshold rule: 48.04<52.57<53.32; fixed_best=blend_best075_lir025_20260517 score=53.32 CD=40.65 P2S=65.99; implication: adaptive blend helped over VM anchor but reduced both CD/P2S versus fixed075 best, so do not promote; edge_guard only if deliberately testing more LIR, hybrid_guard still high risk."
